CLUE,ANS,OUTPUT
Sustain,incur,"['Maintain', 'Support', 'Endure', 'Perpetuate', 'Prolong', 'Continue', 'Carry on', 'Keep up', 'Propagate', 'Preserves', 'Uphold', 'Reinforce', 'Sustenance', 'Back', 'Underpin', 'Fortify', 'Strengthen', 'Consolidate', 'Persevere', 'Protract']"
Born as ,nee,"['Aspin', 'Aloud', 'Arise', 'Ashed', 'Ashes', 'Assay', 'Atone', 'Aubre', 'Aureo', 'Ausar', 'Avail', 'Axial', 'Axiom', 'Azura', 'Azura', 'Albie', 'Altos', 'Altum', 'Amice', 'Anise']"
"Sheets, etc. ",bed linen,"['Bedclothes', 'Towels', 'Blankets', 'Quilts', 'Comforters', 'Linens', 'Tablecloths', 'Napkins', 'Sheets', 'Pillowcases', 'Bedding', 'Curtains', 'Drapes', 'Upholstery', 'Slipcovers', 'Throw blankets', 'Throw pillows', 'Rugs', 'Carpets', 'Linenware']"
Fall due; accumulate ,accrue,"['Amass', 'Accumulate', 'Aggregate', 'Assemble', 'Collect', 'Congregate', 'Converge', 'Gather', 'Huddle', 'Incur', 'Mass', 'Mound', 'Pile up', 'Pool', 'Reap', 'Recur', 'Redeem', 'Relent', 'Succeed', 'Total']"
Dog? ,barker,"['Canine', 'Hound', 'Pooch', 'Mutt', 'Ruff', 'Fido', 'Rufus', 'Spot', 'Scout', 'K-9', 'Companion', 'Pet', 'Beast', 'Brute', 'Animal', 'Critter', 'Puppy', 'Hounddog', 'Mongrel', 'Furry']"
Fish-eating bird ,sea eagle,"['Albatross', 'Avocet', 'Bittern', 'Coot', 'Cormorant', 'Duck', 'Eagle', 'Egret', 'Falcon', 'Gannet', 'Grebe', 'Guillemot', 'Heron', 'Ibis', 'Osprey', 'Pelican', 'Plover', 'Penguin', 'Petrel', 'Tern']"
Gut pain,bellyache,"['Cramps', 'Abdominal pain', 'Stomachache', 'Colic', 'Diarrhea', 'Abdominal cramps', 'Bloating', 'Gas pains', 'Constipation', 'Indigestion', 'Dyspepsia', 'Irritable bowel syndrome (IBS)', 'Diverticulitis', 'Gastroenteritis', 'Appendicitis', 'Ulcer pain', 'Inflammatory bowel disease (IBD) symptoms', 'Food poisoning', 'Gastroesophageal reflux disease (GERD) discomfort', 'Irritable gut syndrome']"
Reproduction,copy,"['Breeding', 'Procreation', 'Copulation', 'Mating', 'Fecundity', 'Conception', 'Gestation', 'Birth', 'Delivery', 'Parturition', 'Multiplication', 'Generation', 'Propagation', 'Regeneration', 'Renewal', 'Rebirth', ""Resilience (note: this one is a bit of a stretch, but it's related to the idea of reproducing or regenerating)"", 'Reiteration', 'Replenishment', 'Reduplication', 'I hope this helps! Let me know if you have any further questions.']"
Chooses ,opts,"['Selects', 'Picks', 'Pleases', 'Optes', 'Decides', 'Elects', 'Options', 'Preferences', 'Determines', 'Sets', 'Assigns', 'Designates', 'Allocates', 'Prioritizes', 'Selectively', 'Piques', 'Assembles', 'Compiles', 'Arranges', 'Singles out']"
Able (to do something) ,at the double,"['Skilled', 'Competent', 'Capable', 'Qualified', 'Trained', 'Equipped', 'Prepared', 'Ready', 'Fit', 'Apt', 'Sufficient', 'Adequate', 'Effective', 'Efficient', 'Proficient', 'Talented', 'Gifted', 'Inclined', 'Prone', 'Suited']"
