CLUE,ANS,POS
Russian dictator ,stalin,1
Let-up ,respite,11
"Going on and on, interminable ",endless,2
Fasteners with threaded shanks ,screws,1
Latin poet ,virgil,2
Male fertilising organ of flowering plants ,stamen,1
"With tender, nostalgic or sad feelings ",sentimental,2
Firmly fixed or free from uncertainty ,secure,5
Flee ,escape,1
Winter sport ,skiing,1
Lloyd Webber musical set in Argentina ,evita,2
It connects points of equal air pressure ,isobar,1
Game in which the answer is acted out ,charade,4
Fungus used in baking ,yeast,1
Asian country ,india,4
