CLUE,ANS,POS
Drawings showing how things work ,diagrams,1
Fast-moving stream ,torrent,3
Underground chapel ,crypt,12
Prolonged public dispute,controversy,5
In a happy mood ,cheerful,8
Tiny particles ,atoms,1
Branch of mathematics ,arithmetic,7
Bell tower ,belfry,2
Hold affectionately ,embrace,17
Universe ,cosmos,1
Magical or medicinal potion ,elixir,1
Continent ,asia,1
Unhurried and relaxed,laid-back,5
Event causing great damage ,catastrophe,2
Totalitarian Russian leader,stalin,1
Resolve; come down ,settle,1
