CLUE,ANS,POS,FOUND IN
Football official (colloq.) ,ref,1,Referee
Capital of the Balearic Islands,palma,1,Palma (Palma de Mallorca)
Reverberate ,echo,2,Echo back
"An opponent - opposed to party policy, etc ",anti,15,Anti-Party member
"Asian country, capital and mega-port ",singapore,10,Singapore - Singapore - Jurong Port
Fruit of a rose ,hip,1,Rosehip
Happening ,event,9,Current event
Soft feathers ,down,1,Downy
Recreational snow slope ,ski run,10,Hillside ski run
Ambrosia ,nectar,6,Golden Nectar
Shout loudly ,bawl,14,Bawl loudly
