CLUE,ANS,POS,FOUND IN
Angle between leaf and stem ,axil,10,Axillaryangle
Trendy body joint? ,hip,5,Hip  
Firm ,solid,1,Solidify
Many-coloured gem ,opal,1,Opaline
"Podiums, platforms ",daises,13,Dais (plural: daises)
Power to withstand hardship ,endurance,6,Endurance  
Highway ,road,14,Frontage road
Imperial weight ,ounce,2,Ounce - Equal to one-sixteenth (or 0.06) of a pound in the imperial system.
Kingsley Amis novel ,lucky jim,1,Lucky Jim  
Disease inflaming the big toe ,gout,1,Gouty arthriteb
Grind (teeth),gnash,1,Gnashing
Peculiarity of phrase in a language ,idiom,1,Idiomatic
Broad ,wide,4,Wide-ranging
