CLUE,ANS,POS
Ravine ,gorge,1
Window slat ,louvre,2
"Apprise, notify ",inform,1
Muggy ,humid,1
Without fixed limits or restrictions,open-ended,10
Pay a casual visit unannounced ,drop in,1
"Drink, maybe philtre ",potion,4
"Horrified, shocked ",aghast,2
Take a stand against ,oppose,1
Tennis court feature ,net,1
Damage ,harm,4
Egyptian goddess ,isis,1
Interlaced link of hair strands ,braid,2
"Hurry, haste ",rush,1
"The universe, all things ",creation,5
"Atrocious, awful ",dreadful,2
"London area, centre of the UK diamond trade",hatton garden,1
One loads and unloads ships,stevedore,3
Revenge ,reprisal,5
Sudden apprehension and fear ,alarm,3
Easy - without suffering ,painless,1
Great disaster ,debacle,14
Thighbone ,femur,1
