CLUE,ANS,POS
Public dispute,controversy,8
Cowboys' contest ,rodeo,1
Lacking knowledge or awareness ,ignorant,6
Large wine bottle ,magnum,15
Prejudice ,bias,2
Gift ,donation,5
String of beads ,necklace,1
It's used in jam-making ,pectin,5
Agitated ,excited,18
Traditional holy day ,sabbath,1
Certificate ,diploma,1
Of the mind ,mental,12
Not paid at the scheduled time ,overdue,2
Fastener; propeller ,screw,9
Large spoon ,ladle,1
Member of a Bantu people living in Zimbabwe ,shona,1
Repository for objects of historical interest ,museum,1
"- Marsh, NZ detective novelist ",ngaio,1
Mexican monetary unit,peso,1
Annual ,yearly,3
"Another name for Dionysus, Greek god of drink ",bacchus,1
