CLUE,ANS,POS
Academy award ,oscar,1
Moisture condensed at night ,dew,1
Prosecute ,sue,4
Tosca composer ,puccini,1
Magnitude ,size,2
Man or beast ,animal,3
Shield from danger ,protect,1
Deep red spice,paprika,2
Item inserted in a written record ,entry,1
Coma ,stupor,4
One who watches ,viewer,16
Unrest - upheaval ,turmoil,2
Remains of a prehistoric plant or animal ,fossil,1
Complement ,accompaniment,20
Car ,motor,3
Permissive,tolerant,6
Copier of (handwritten) documents,scribe,1
Advise strongly or prod ,urge,1
Gathered in great quantity ,amassed,1
Avoid or abstain from ,eschew,4
Lloyd Webber musical ,evita,3
Every year ,annually,1
Set on a particular musical note ,pitched,19
Calling for immediate attention,urgent,1
New England state ,maine,1
"American state, capital Juneau ",alaska,1
Glowing in the dark ,fluorescent,6
The Cape of Good - ,hope,2
Great American inventor ,edison,1
