CLUE,ANS,POS,FOUND IN
Lockjaw ,tetanus,4,Tetanus-induced rigidity
Intense anger,fury,13,Burning fury
Crossbred ,hybrid,1,Hybridized
State of bliss ,nirvana,14,Nirvana (in a metaphorical sense)
Depressed ,blue,4,Blue mood
Unit of current ,amp,1,Ampere (A)
"Old German kingdom, capital Berlin ",prussia,2,Preußen (Prussia)
Warlike Hunnish king ,attila,1,Attila the Hun
Hybridisation ,crossbreeding,3,Crossbreeding: The process of breeding animals from different species or breeds to create offspring with specific traits (hybridization).
A French mister ,monsieur,3,"Monsieur: a polite form of addressing a man, equivalent to ""sir"" in English; also represents respectful masculinity"
