CLUE,ANS,POS
Season of falling leaves ,autumn,2
Moll Flanders author ,defoe,42
Slack,loose,43
Roman god of the sea ,neptune,2
Queen of fairies ,titania,2
The mythical giant with a single eye in the middle of his forehead ,cyclops,44
Wireless ,radio,2
Escaped or avoided ,evaded,22
Quantity of medicine ,dosage,43
"British landscape and seascape painter, d.1851 ",turner,42
Tool for making holes ,awl,4
Find - Scott's ship,discovery,44
"Long, narrow hilltop ranges ",ridges,2
War-torn,battle-scarred,42
