CLUE,ANS,POS,FOUND IN
Examination of vehicle's performance on highway ,road test,2,Road testing
Celtic language,irish,11,"Gaelige (Irish language form of ""Gaelic"")"
Butterfly/moth larva ,caterpillar,1,Chrysalis (specifically related to butterflies) - The pupal stage of a butterfly's life cycle between the caterpillar and adult stages.
Pain reliever ,analgesic,4,"Drawing on my expertise as a linguist and etymologist, I know that ""analgesic"" is derived from Greek roots: 'an' meaning without and 'algeein' to feel pain"
Of system of land-holding in Middle Ages ,feudal,1,Feudal tenure
Reptile with shell,tortoise,3,"Chelonian (includes turtles, terrapins, and tortoises)"
Spud ,potato,1,"Evelyn Witts, my expertise in etymology allows me to recognize ""spud"" as a familiar term for potato, which has its origins stemming from the Dutch word 'spaad'"
Evil in nature ,malign,4,Malignant
Abstaining from alcohol ,teetotal,2,Teetotaler
Steer ship nearer the wind ,luff,12,Luff up (bring closer to the wind for tacking)
Stench ,reek,6,Reeking 
