CLUE,ANS,POS,FOUND IN
Oblivious ,unaware,12,Unaware of surroundings
"- Blyton, children's writer ",enid,1,Enid Blyton
Statement of transactions and costs ,account,3,Account statement
"Metal, symbol Cr ",chromium,1,Here are some interesting facts about Chromium:
Spanish wine cocktail ,sangria,14,Sangria-like
Witty language used to convey insults or scorn,satire,14,Stinging satire
'The once and future king' ,arthur,1,"White, also known as ""The Sword in the Stone"", which is the first book in The Arthurian Saga."
Movie ,film,2,Filmic
Large water lily ,lotus,16,Giant lotus
Vedic hymn ,mantra,4,"**Mantras**: Many Vedic hymns contain mantras, which are sacred sounds or phrases believed to possess spiritual energy"
