CLUE,ANS,POS,FOUND IN
Intoxicating liquour ,alcohol,1,Alcoholic beverage
His cave is on Staffa,fingal,1,Fingal's Cave
Delight ,enchant,20,Enchanted
Metal holding a gem ,setting,1,Jewelry setting
Ancient Italian ,roman,7,Arte romana antica
Looking steadily ,gazing,3,Gazing fixedly
Button used on quiz shows?,buzzer,1,Press the buzzer
Receive ,accept,12,Accepted as a gift
Spiral ,helix,1,Helix-shaped
Wheel rod ,axle,1,Axle support
At a later time or behind ,after,10,Aftermath
Coast ,shore,1,Shoreline
Fashion ,trend,1,Trendy
Send a vessel into water ,launch,1,Launch boat
Reckoning ,account,1,Accounting for consequences
Large goose ,greylag,13,Grandiose Greylag Goose
Manufactured ,made,1,Factory-made
Clean and orderly ,neat,3,Neatly set up
Pronoun ,she,1,He/She
Means of entry,access,2,Access point
Milky gem ,opal,19,"Dairy opal (playing on the preciousness and color associated with opals, similar to milk's whiteness)"
Hopelessness ,despair,1,Despairing
Going in the same direction but always the same distance apart ,parallel,1,Parallel paths
Outline drawing ,sketch,1,Sketching stage: Initial rough draft with basic shapes and proportions.
Pennant ,banner,2,Banner shape
Medical care ,treatment,10,Treatment plan
It used to be Constantinople ,istanbul,3,Historically called Istanbul until 1930
Part of the ear ,lobe,4,Earlobe
Transparent part of envelope,window,1,Windowpane
Captivate ,enthral,2,Enthralling
Disappear gradually ,fade out,5,Gradually fade out
Person who paddles a kayak or suchlike ,canoeist,16,"Canoeist (though technically involves a different vessel, still related to paddling on water)"
Greatly surprised,amazed,4,Highly amazed
Storage space for fodder,silo,1,Feed silo
Dealer in knives and forks ,cutler,1,Cutlery shop
Man's servant ,valet,10,Valet (if male)
