CLUE,ANS,POS
Landed property ,estate,1
Sheep meat ,mutton,2
Work imitating various sources,pastiche,2
Withdraw ,pull out,3
Geometrical figure ,triangle,5
Nudists ,naturists,18
Hooked claw ,talon,1
Light-sensitive membrane in the eye ,retina,1
Bodies of (usually fresh) water ,lakes,1
International formula car race ,grand prix,1
Door support ,hinge,2
Drawn in - withdrawn,retracted,1
One of the Great Lakes,huron,2
Postpone ,defer,2
Countryside walker,rambler,4
Vivid long-tailed bird of the Americas,quetzal,6
Dickens novel,hard times,6
Bringer of freedom,liberator,1
