CLUE,ANS,POS,FOUND IN
Thou,you,1,"Thee - An archaic form of ""you,"" used mainly in poetry or formal language."
Member of the family ,relative,20,Relative by marriage or cultural affiliation
Clergyman ,vicar,9,Vicar 
Cherish a desire,hope,8,Wish upon - to hope fervently for the fulfillment of a particular desire.
Small mouse-like rodent ,vole,4,Meadow Vole
Thrill,excite,1,Excitement
Bloodsucking insect ,louse,4,Louse (lice)
'Lolita' author ,nabokov,1,Vladimir Nabokov
Yacht races as part of sporting event ,regattas,2,"Fleet Racing - A term used to describe racing among a group or fleet of boats, typically referring to yacht regattas."
Convexity of the surface of a road ,camber,12,Cambering
Turn hide into leather ,tan,1,Tanning
Green part that forms a flower's calyx,sepal,1,"Sepals - The green, leaf-like parts located at the base of a flower, forming the outermost whorl known as the calyx."
Conspire - small piece of land,plot,1,"Plot (as in to conspire, though it can also refer to a small piece of land)"
Jamaica pepper ,allspice,2,"Pimento - Also known as allspice or Jamaican pepper, native to the West Indies and commonly used in Jamaican cooking."
U2 guitarist ,edge,1,Edge (Adam Clayton)
Lapse against moral law ,sin,8,Sinfulness
Volcanic matter ,lava,8,Lava bombs
Not covered ,bare,18,Barefoot (not wearing any shoes or covering for feet)
Ore ,mineral,1,Ore body - A concentrated accumulation of minerals within rocks.
Round Table king ,arthur,1,"Arthur - King Arthur, legendary ruler associated with the round table and Knights of the Round Table in medieval British folklore."
(Greek) serf ,helot,9,"Helots - a specific term used for slaves in ancient Sparta who were tied to the land and performed agricultural labor but are not Greek, though relevant to understanding the context of serfdom."
"Eg, gun ",weapon,7,Assault weapon
