CLUE,ANS,POS,FOUND IN
Hard Italian cheese,parmesan,20,Stravecchio (aged Parmesan)
"Trot in after sea-god, son of Poseidon ",triton,1,"Triton - A merman or a god associated with waters in Greek mythology, often considered as Poseidon's son and brother to Amphitrite"
Bovine animals ,cattle,7,Beef cow (adult female cattle specifically reared for meat)
Set of clothes or group of people ,outfit,1,Outfit (a set of clothes worn together)
It's distilled from molasses ,rum,1,"Rum - A popular alcoholic beverage made by fermenting and distilling sugarcane byproducts, such as molasses."
Products of creativity ,art,1,Artwork
"Liszt or Ravel, say ",composer,7,Chopin (another piano composer)
Gravelly courage ,grit,1,Gritty
Curly-leaved endive ,fris,5,Frisée
Banish(ment),exile,1,"Exile - The act of expelling or banishing someone from their home or country, often as punishment."
Play music in the street ,busk,2,Busker
Award conferred as a mark of respect ,honour,14,Honour roll
Fan out in ornamental water jet ,fountain,1,Fountain - A structure designed to project water into the air for decorative purposes.
Leave ,depart,1,Depart - To leave or go away from a place or situation.
Make stronger and hardier ,toughen,3,Toughen - Improve the resilience of a material or substance to withstand stress and pressure.
"Native to, eg, Cardiff ",welsh,1,"Welshman (a male native from Wales or specifically, areas like Cardiff)"
Of the distinct ways of living of a particular group of people,ethnic,8,Ethnicity
Conforming to Islamic (dietary) laws,halal,1,"Halal - permissible according to Islamic law, including dietary practices."
Pursue quarry ,hunt,1,Hunting
Whole and complete ,entire,1,Entirety
Permit,allow,1,License - A permit granted to an individual allowing them to engage in certain activities or professions.
"Fidel . . . . . ., Cuban chief ",castro,1,Fidel Castro - The most prominent and influential Cuban revolutionary leader who became Cuba's Prime Minister and then President after leading the Cuban Revolution in 1959.
