CLUE,ANS,POS,FOUND IN
Wandering ,nomadic,15,Nomadic lifestyle
Set down in writing ,record,3,Recorded notes
Butterfly - curl,ringlet,1,Ringlet (a type of butterfly with curled wings)
Black leopard ,panther,1,Panthera pardus fusca (scientific name)
Destructive beetle,weevil,2,Boll weevil
"Skill, cunning ",craft,13,Craftsmanship
Jail ,incarceration,18,Incarceration facility
Food flavourings from Pisces ,spices,6,Seafood spices
Tradition - rate of consumption,usage,1,Usage cycle
Pacifist leader during India's struggle for independence ,gandhi,1,Mahatma Gandhi
Informal talk ,chatter,8,Cocktail party chatter
Bird kept for eggs and meat ,fowl,5,Guinea fowl
Monarch ,queen,1,King or Queen
Backpacking ,trekking,7,Trekking equipment
Give satisfaction ,please,18,Pleased customer (specifically)
Tiny mountain on the lawn? ,molehill,3,Molehill (from the digging activity of moles)
Grinding tooth ,molar,8,Molars grind
Former institute of correction for youngsters,borstal,2,Borstal institution
Part of finger ,nail,3,Nailbed
Metal fixing pin ,rivet,1,Riveting pin
