CLUE,ANS,POS,FOUND IN
Cold season ,winter,1,"Winter - The coldest season, occurring between autumn and spring."
Dull sound of a bell,clang,2,Clangor
Work imitating various sources,pastiche,1,"Pastiche - A work of art, literature, or music that combines elements from different styles and periods in an imitative way."
Shore ,coast,1,Coastline
Geometrical figure ,triangle,2,"Triangle - A three-sided polygon with three angles and three vertices, commonly classified by side lengths (scalene, isosceles, or equilateral) or angle measures (acute, right, obtuse)."
'It takes ? to tango' ,two,12,Timing (Precise timing in footwork and handholds is fundamental)
Illuminate ,light,8,Enlighten
Upper chamber of Parliament ,house of lords,5,House of Lords (United Kingdom - historical reference)
Door support ,hinge,1,Hinges
One of the Great Lakes,huron,3,Lake Huron
Postpone ,defer,2,Defer - To move back or reschedule something previously set for a specific date or time.
Dickens novel,hard times,15,Gradgrind - Hard Times
