CLUE,ANS,POS,FOUND IN
Rational motive ,reason,3,Calculated reason
Sit Cyril down - he's a songwriter ,lyricist,5,Lyricist's nook - Implying comfort and creativity in songwriting;
Embryo's outermost layer of cells ,ectoderm,10,Trophectoderm
The science of the earth's crust ,geology,2,Geology (the study of solid Earth)
Country and bird ,turkey,5,"United States - Turkey (Turkey Vulture, although Bald Eagle is also a strong contender as it's more iconic)"
River at Bath ,avon,1,"Avon (after which the city of Bath is named, as it flows nearby)"
Material for making inner walls,plasterboard,3,Plasterboard (another term for drywall)
Distance from the surface to the bottom ,depth,4,"Distance from the surface to the bottom – Depth, Bottom Margin, Lowest Point, Sea Floor Level, Subterranean Space, Foundation's End, Basin Extent, Deepness Measure"
"Milton -, new town ",keynes,3,"Milton Keynes (new town built in Buckinghamshire, England)"
Birth control device ,contraceptive,13,Contraceptive sponge
