CLUE,ANS,OUTPUT
Arches for trailing plants ,pergolas,"['Trellises', 'Supports', 'Canopies', 'Arbors', 'Pillars', 'Pedestals', 'Stems', 'Columns', 'Frameworks', 'Rafters', 'Brackets', 'Louvers', 'Crossbeams', 'Overheads', 'Cantilevers', 'Scaffolding', 'Latticework', 'Retaining walls', 'Greenhouses', 'Conservatories']"
Verbally superfluous ,tautological,"['Extraneous', 'Unnecessary', 'Superfluous', 'Excessive', 'Redundant', 'Frivolous', 'Fluffy', 'Windy', 'Fanciful', 'Ornate', 'Decorative', 'Inessential', 'Irrelevant', 'Unimportant', 'Trivial', 'Vain', 'Useless', 'Futile', 'Meaningless', 'Vacuous']"
Gossip ,chitchat,"['Rumor', 'Whisper', 'Chat', 'Prattle', 'Tittle-tattle', 'Scuttlebutt', 'News spread', 'Hearsay', 'Ruminate', 'Share the news', 'Spread the word', 'Tell tales', 'Mouthpiece', 'Whispers', 'Mischief maker', 'Meddlesome', 'Busybody', 'Informer', 'Confidante', 'Scandal monger']"
Ending of film ,denouement,"['Credits', 'Roll', 'Fade out', 'Curtains close', 'End titles', 'Finale', 'Conclusion', 'Wrap up', 'Final shot', 'Last frame', 'Closing scene', 'Exit stage left', 'Final act', 'Curtain call', 'The end is nigh', 'Last reel', 'Finish line', 'End of the road', 'Last take', ""That's a wrap!""]"
One-way-motion toothed wheel ,ratchet,"['Cycloidal', 'Helical', 'Spiral', 'Helix', 'Toroidal', 'Vortex', 'Rotatory', 'Rotary', 'Revolving', 'Whirling', 'Spinning', 'Twisting', 'Turning', 'Circular motion wheel', 'One-way-gearing wheel', 'Pinion wheel', 'Epicyclic gear', 'Helical gear', 'Cycloid mechanism', 'Spiral-toothed wheel']"
Smallest (in amount) ,least,"['Atom', 'Mite', 'Speck', 'Pinch', 'Crumb', 'Scrap', 'Smidgen', 'Iota', 'Ion', 'Molecule', 'Particle', 'Bit', 'Tad', 'Hint', 'Dash', 'Snap', 'Jot', 'Fleck', 'Gnat', ""Atom (again, as it's the smallest unit of matter)""]"
Anniversary ,jubilee,"['Wedding day return visit', 'Yearly celebration', 'Special occasion mark', ""Couple's milestone"", ""Partner's birthday return visit"", 'Romantic date night', 'Love letter send', 'Gift exchange tradition', 'Holiday getaway trip', 'Revisit romantic spot', 'Second honeymoon destination', 'Vow renewal ceremony', 'Marriage milestone celebration', ""Couple's photo shoot"", 'Heartfelt love message', 'Intimate dinner date', 'Romance package deal', ""Love letter writer's inspiration"", 'Anniversary gift shop', 'Forever love vow']"
Clay-like compound,bauxite,"['Bentonite', 'Kaolin', 'Montmorillonite', 'Attapulgite', 'Sepiolite', 'Halloysite', 'Dickite', 'Saponite', 'Illite', 'Vermiculite', 'Smectite', 'Chrysotile (asbestos)', 'Palygorskite', 'Sepiolite', 'Gonnardite', 'Hectorite', 'Mica', 'Serpentine', 'Chlorite', 'Lepidocrocite']"
Very small ,titchy,"['Teeny', 'Tiny', 'Minuscule', 'Itsy-bitsy', 'Smallish', 'Wee', 'Lilliputian (after Laputa, a fictional land known for its tiny people)', 'Puny', 'Little', 'Diminutive', 'Infinitesimal', 'Microscopic', 'Petite', 'Compact', 'Dinky', 'Smallish', 'Minimally sized', 'Exceedingly small', 'Almost imperceptible', 'Inconsequential']"
Part of speech ,adverb,"['Word', 'Term', 'Phrase', 'Sentence', 'Clause', 'Idiom', 'Expression', 'Utterance', 'Vocalization', 'Vowel', 'Consonant', 'Syllable', 'Diction', 'Tongue', 'Discourse', 'Linguistic unit', 'Phoneme', 'Morpheme', 'Lexical item', 'Orthographic symbol']"
