CLUE,ANS,POS,FOUND IN
Beautiful insect and swimming stroke ,butterfly,8,Refined butterfly stroke (butterfly stroke is a swimming technique that requires fluidity and elegance)
In a tidy manner ,neatly,2,Neatly arranged
Cultivated plot of ground ,garden,6,Garden plot
Welsh dog ,corgi,2,Pembroke Welsh Corgi
Particular feature ,aspect,8,Unique aspect
Monkey - factor in blood ,rhesus,10,Rhesus macaque's platelet count
Bring to a close ,end,8,Ended
Head of US company - tried pens (anag) ,president,2,President & CEO
"Go regularly to, church perhaps ",attend,4,Faithful attender
Perceive,notice,17,Noticeable differences
Rotate ,spin,19,Spinning on an axis
Decay in teeth ,caries,3,Dental caries
Spell - word,term,11,Pain (general term for discomfort or distress)
Price of passage ,fare,1,Affordable fare
Outline drawing ,sketch,1,Sketching the basic structure
