CLUE,ANS,POS
Magnetic force ,attraction,1
"Inclination, propensity ",tendency,8
Harshly grating ,rasping,3
Dismantle ,take apart,2
Hole in tooth ,cavity,1
High official in former Ottoman Empire ,vizier,4
Fossilised resin used in jewellery,amber,1
Male sex hormone,testosterone,1
V as a numeral ,five,1
Etch,inscribe,3
Kit ,equipment,6
Hairpiece ,toupee,2
Chastised ,punished,10
Yellowish fossil resin ,amber,1
Having reading disorder ,dyslexic,1
Actor's part ,role,1
In a secret manner ,clandestinely,1
Ridge of sand ,dune,1
Unit of electric power,watt,1
