CLUE,ANS,POS
Round wooden cask made by cooper ,barrel,1
Bovine mammary gland ,udder,1
Area of Zimbabwe ,matabeleland,1
The smaller of two ,lesser,1
Command; metal ,lead,18
Made up of several distinct parts ,composite,1
Humped animal ,camel,1
Fearful anxiety ,trepidation,3
Travel document ,passport,1
Having no money ,broke,6
One who buys and sells ,merchant,1
Famous journey of Chinese communists,long march,1
Relaxed ,at ease,12
Foretell ,predict,1
Of the sea ,marine,7
Sports clothing material,lycra,5
Evergreen tree with spiky leaves,holly,5
Postmortem examination ,autopsy,1
Rich like fatty part of milk ,creamy,1
Consequence ,outcome,8
1977 celebration for Queen Elizabeth II ,silver jubilee,1
Large-eyed antelope ,gazelle,2
Soft French cheese ,brie,1
Posh seats in the theatre,stalls,4
