CLUE,ANS,POS
Seat of the high kings of Ireland ,tara,1
Disparagement ,denigration,5
Magnetic force ,attraction,1
"Inclination, propensity ",tendency,1
Chief Norse god ,odin,1
Capital of Japan,tokyo,1
Powerful portable radio and cassette player ,boombox,11
Hole in tooth ,cavity,1
Fossilised resin used in jewellery,amber,1
Male sex hormone,testosterone,1
V as a numeral ,five,6
Etch,inscribe,2
Hairpiece ,toupee,3
Evacuation ,exodus,3
Yellowish fossil resin ,amber,1
Having reading disorder ,dyslexic,1
Cereal used for making whiskey ,rye,2
In a secret manner ,clandestinely,5
Very appropriate ,apposite,4
Unlit by solar light ,sunless,12
Unit of electric power,watt,1
