CLUE,ANS,POS,FOUND IN
Bite and grind food in the mouth,chew,1,Chewing or chomping down on food using teeth.
Textile fibre,flax,12,Flax (for linen)
One of two armed conflicts in southern Africa ,boer war,1,Anglo-Boer War
"-- and Aeneas, opera by Purcell ",dido,17,Dido and Aeneas
Underground chapel ,crypt,2,Cryptic sanctuary
District of the Gironde ,m,3,Merlot region
Indian melody ,raga,1,Raga (a classical form of music in India with specific melodic structures)
Sticky substance ,goo,9,Goop
Mentally overexerted ,stressed,5,Stressed out
Speak to the residence ,address,2,Address them
Classical dance ,ballet,2,"Traditional or historical dance forms such as ballet (originating from Italy and France), Bharatanatyam (from India), Kathak (from North India), or Odissi (from Eastern India)."
