CLUE,ANS,POS
Develop over time ,evolve,1
Persuade ,convince,4
"Reasonable, logical ",rational,1
"Nominates, oddly, the US state ",minnesota,16
Playing card,ace,1
Fastener joining parts of mechanism ,cotter pin,14
Unfavourable or harmful ,adverse,1
Element used as semiconductor,silicon,16
City by the Great Pyramid ,giza,1
Stronghold ,fortress,2
Association football ,soccer,7
Port in Brittany ,brest,1
Love affair ,romance,10
Funeral lament ,dirge,4
"Laugh at, make fun of",deride,3
Small room ,cabin,1
Viscous bituminous substance,tar,7
