CLUE,ANS,POS
Occupant ,resident,1
Nevertheless ,even so,6
"Extinguish, wipe out ",eradicate,3
'Many are called but few are ...' ,chosen,1
Narrow road ,lane,1
Baleful ,ominous,5
Cheap and poorly made ,shoddy,3
Young geese ,goslings,1
Opera by Verdi ,il trovatore,4
Remove material from a riverbed ,dredge,1
Extra payment ,bonus,1
Achieve successfully ,accomplish,1
Ovine animal-keeper ,shepherd,1
Between red and yellow ,orange,1
Sudden and complete collapse ,fiasco,17
Pound (slang) ,quid,3
Landing-place ,heliport,20
Metal joint,weld,4
"Call on, go to see ",visit,1
