CLUE,ANS,POS,FOUND IN
Stroke lovingly,caress,4,Caress gently
Very steep ,precipitous,12,"Rocky, precipitous terrain"
Portion of meat ,cutlet,9,Stewed cutlet
Newspapers,press,6,Daily press
Establish firmly in well-defended position ,entrench,14,Firmly entrenched
Leisurely walk ,amble,3,Slow amble
Smouldering piece left over from a fire,ember,2,Glowing ember
Barrel-maker ,cooper,16,Coopers' apprentice
"-- Dahl, children's author ",roald,18,Wondrous Illustrator (if referring to his work with Roald Dahl's illustrations)
Testimony - verification,evidence,4,Verifiable evidence
Show (a film) ,screen,1,Screening
Expel from a country ,deport,1,Deported
Ships' companies ,crews,3,Crews aboard
Article in list ,item,3,Easily obtainable - A phrase describing items or services that are simple to acquire.
Every now and again ,once in a while,17,Once in a while (as an expression)
"Inactive, motionless ",static,19,Static position
In the direction of ,towards,8,Towards the north
