CLUE,ANS,POS,FOUND IN
Midday ,noon,1,Afternoon peak time
Himalayans often working as guides ,sherpas,1,Mountain Sherpas
Chess pieces ,rooks,15,Castling long (castle with both rooks in a single move)
Cooking vessel; god ,pan,1,Panacea
The middle for the spiritualist ,medium,11,Medium (in terms of connecting writers and readers)
Meal/drink ,tea,10,"Burrito - a Mexican dish made by steaming and then filling a large wheat flour tortilla with various ingredients such as meats, beans, rice, cheese, and salsa."
Grind between the teeth ,chew,17,Unconscious chewing (may lead to grinding)
Motley ,varied,2,Varied ensemble
Women's underwear ,lingerie,1,Fashionable lingerie
"Strong feeling of joy, fear etc ",emotion,7,Excitement (can encompass both positive and negative emotions)
Came back ,returned,1,Returned home
Small rounded bread ,roll,13,Crescent roll
