CLUE,ANS,POS
Raise ,elevate,11
Actual; coin ,real,1
Describes poorly groomed hair ,shaggy,5
Scruffy; unfair ,shabby,1
Firm ,stable,4
Green public spaces ,gardens,2
Discolorations or dirt marks ,stains,4
Greek god of the sea ,poseidon,1
TV motoring programme ,top gear,1
A cloche (anag) - spiral cavity of the inner ear,cochlea,1
"Requires, is in want of ",needs,1
Falsehood ,lie,1
Snatch,grab,2
Surpass ,excel,5
Unreal ,illusory,6
Fermented grape juice ,wine,1
Young woman entering society ,debutante,1
Birds of prey ,eagles,2
Raised crease ,ridge,4
Annoy continually ,harass,7
Hitchcock film ,the birds,6
Lends a hand ,assists,1
Foe,enemy,2
