CLUE,ANS,POS
Serious ,grave,1
Notable ,famous,1
Medicinal extract in a solution of alcohol,tincture,1
Anger ,ire,17
Boundless ,unlimited,3
Next to ,beside,2
Monetary unit in S Africa ,rand,1
The science of the earth's crust ,geology,1
Confined space for animals ,cage,2
Country and bird ,turkey,1
Germanic ,teutonic,4
Period of time,era,6
"Follow-up film, book etc",sequel,1
Small pill or lozenge ,tablet,2
Ingenuous ,naive,1
Material for making inner walls,plasterboard,1
Acid-tasting salad leaf ,sorrel,2
