CLUE,ANS,POS
Firm ,solid,2
"Keepsake, souvenir ",memento,1
Flower ,bloom,3
Arm joint,elbow,1
Occasion for excessive eating or drinking,binge,1
Kingsley Amis novel ,lucky jim,1
Thick liquid for skin ,lotion,1
Disease inflaming the big toe ,gout,1
Monetary unit ,dollar,5
Shielded ,sheltered,11
Hotchpotch ,mishmash,1
Former ruler of Iran,shah,2
Made ready (to fire) ,primed,2
Christian Creed adopted in 325 a.d. ,nicene,1
Not sacred ,secular,8
Improve equipment or promote ,upgrade,1
Pilgrim Fathers' ship ,mayflower,1
