CLUE,ANS,POS
Prosecute ,sue,6
Daydream ,fantasy,1
Planet second nearest to the sun ,venus,1
Deep red spice,paprika,2
Item inserted in a written record ,entry,2
One who watches ,viewer,2
Unrest - upheaval ,turmoil,4
US state ,pennsylvania,6
Permissive,tolerant,2
Gathered in great quantity ,amassed,3
Avoid or abstain from ,eschew,9
Lloyd Webber musical ,evita,5
Scottish estuaries,firths,1
Calling for immediate attention,urgent,1
New England state ,maine,6
"American state, capital Juneau ",alaska,1
Glowing in the dark ,fluorescent,12
