CLUE,ANS,POS,FOUND IN
Dull sound of a bell,clang,8,Clangorous
Shore ,coast,2,Coastline
Allows or causes to ,lets,9,Lets do
Illuminate ,light,1,Shine a light on
Just a pale fib ,white lie,20,Lillywhite lie
"Jane -, US actress ",fonda,2,Early life: Jane Fonda was born Lady Jayne Seymour Fonda to actor Henry Fonda and actress Frances Ford Seymour
Hooked claw ,talon,1,Talons
Door support ,hinge,6,"Hardware (e.g., hinges, handles)"
One of the Great Lakes,huron,3,Lake Huron
Owing to ,because,3,Because of
