CLUE,ANS,POS,FOUND IN
Divides in two ,halves,19,In two halves
Tiredness,fatigue,1,Fatigued
Exotic flower ,orchid,1,Orchidaceae
Set of clothes or group of people ,outfit,4,Outfit ensemble
Requirements ,needs,14,Essential needs or demands
Sheer fabric of silk or rayon ,chiffon,4,Luxurious chiffon weave
Products of creativity ,art,1,Artistic output
Lustre ,sheen,6,Metallic sheen
"Liszt or Ravel, say ",composer,2,Romantic composer
Gravelly courage ,grit,1,Gritty bravery
Bet -- Procter's partner ,gamble,13,Board member linked to Procter & Gamble
Nursing officer ,matron,1,Matronly figure
Wine merchant ,vintner,3,Merchant vintner
