CLUE,ANS,POS
Unit of electrical energy ,kilowatt-hour,2
Russian dictator ,stalin,1
"Going on and on, interminable ",endless,2
Fasteners with threaded shanks ,screws,1
Latin poet ,virgil,2
Two-hump camel ,bactrian,1
Male fertilising organ of flowering plants ,stamen,1
Firmly fixed or free from uncertainty ,secure,1
Flee ,escape,1
Winter sport ,skiing,1
Lloyd Webber musical set in Argentina ,evita,1
Simple arithmetic ,addition,1
Fungus used in baking ,yeast,1
Asian country ,india,3
