CLUE,ANS,OUTPUT
One after another ,on the trot,"['Ample', 'Ample supply', 'Conveniently available', 'Conveniently obtained', 'Easily accessible', 'On hand', 'Ready at hand', 'Ready at any moment', 'Instantly available', 'Promptly available', 'Conveniently available', 'Conveniently obtained', 'Ready at any time', 'Conveniently available', 'Up-to-date', 'Promptly available', 'Ready at any moment', 'Ready at any time', 'Ready at any moment', 'Ready at any moment']"
"'Despite, still (4,2)' ",even so,"['Pantry', 'Food', 'Resources', 'Hunger', 'Need', 'Survival', 'Resourcefulness', 'Deprivation', 'Hunger relief', 'Hungry', 'Hunger relief food', 'Hungry children', 'Empty stomach', 'Empty pantry', 'Empty resources', 'Empty home', 'Empty vessel', 'Empty stomach', 'Empty pantry', 'Empty world']"
Slayer of the Minotaur ,theseus,"['Pantry', 'Hunger', 'Starvation', 'Thirst', 'Empty', 'Hunger pangs', 'Hungry', 'Undernourished', 'Hungry stomach', 'Empty pantry', 'Unfed child', 'Underfed', 'Hunger-stricken', 'Hungry beast', 'Empty vessel', 'Hungry and desperate', 'Hunger-related', 'Hungry ghost', 'Hunger pangs', 'Hungry wasteland']"
Temporary residence ,stay,"['Pantry', 'Shelf', 'Drawer', 'Box', 'Cabinet', 'Trunk', 'Container', 'Chamber', 'Storage', 'Repository', 'Storage', 'Locker', 'Shelf', 'Trunk', 'Drawer', 'Pantry', 'Cabinet', 'Chest', 'Box', 'Storage']"
Something left out ,omission,"['Reservoir', 'Tank', 'Vessel', 'Water tank', 'Pipette', 'Bottle', 'Can', 'Reservoir', 'Cup', 'Pot', 'Tray', 'Container', 'Cupboard', 'Chest', 'Drawer', 'Stove', 'Kitchen', 'Pantry', 'Pantry', 'Kitchenette']"
Atomic number 85 ,astatine,"['Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry', 'Pantry']"
Portuguese city ,oporto,"['Pantry', 'Pantry door', 'Pantry key', 'Pantry light', 'Pantry service', 'Pantry trash can', 'Pantry waste', 'Pantry shelves', 'Pantry shelves', 'Pantry door handle', 'Pantry lock', 'Pantry light switch', 'Pantry key ring', 'Pantry label', 'Pantry label holder', 'Pantry sign', 'Pantry signpost', 'Pantry signboard', 'Pantry signpost holder', 'Pantry signpost key']"
Fragile ,delicate,"['Instantly', 'Promptly', 'Instantly', 'Immediately', 'Quickly', 'Timely', 'Ready at hand', 'Ready at short notice', 'Ready at any moment', 'Ready at will', 'Convenient', 'Conveniently', 'Ready at any moment', 'Available immediately', 'Promptly', 'Instantly', 'Ready at any moment', 'Ready at any moment', 'Ready at any time', 'Ready at will']"
"Dependant, underling",minion,"['Pantry', 'Store', 'Stock', 'Shelf', 'Chest', 'Cabinet', 'Drawer', 'Box', 'Container', 'Repository', 'Niche', 'Chamber', 'Storehouse', 'Depot', 'Pantry', 'Locker', 'Bin', 'Shelf', 'Trunk', 'Cabinet']"
"Handle, oversee ",manage,"['Pantry', 'Shelf', 'Kitchen', 'Food', 'Pantry', 'Stock', 'Fridge', 'Pantry', 'Storage', 'Pantry', 'Food storage', 'Refrigerator', 'Storage unit', 'Kitchenware', 'Pantry', 'Kitchen supplies', 'Pantry organization', 'Food service', 'Food storage', 'Food handling']"
Stylish ,chic,"['Pantry', 'Provisions', 'Stockpile', 'Reserve', 'Shelf', 'Shelf space', 'Resource', 'Kit', 'Kitted', 'Baggage', 'Kitting', 'Provisions', 'Store', 'Chest', 'Storage', 'Shelf', 'Repository', 'Storage', 'Depot', 'Locker']"
Alert ,alive,"['Pantry', 'Stock', 'Shelf', 'Kit', 'Store', 'Drawer', 'Cabinet', 'Cabinetry', 'Shelf', 'Drawer', 'Trunk', 'Container', 'Box', 'Bag', 'Basket', 'Trunk', 'Chest', 'Locker', 'Compartment', 'Drawer']"
"Harmful, unfavourable ",adverse,[]
