CLUE,ANS,POS
Antagonistic ,hostile,2
Lowest point ,nadir,4
Relaxed ,at ease,1
Food made from milk ,cheese,3
Appraisal ,assessment,2
One who drives out evil spirits by prayer ,exorcist,1
Perception ,insight,4
Rubbish ,litter,4
Distinctive atmosphere ,aura,5
African country ,uganda,15
Reliable; not hollow,solid,1
Far from beautiful ,ugly,2
Irritated ,annoyed,1
Apiarist ,beekeeper,1
Dish of flat thin batter fried on both sides,pancake,2
African carrion-feeder,hyena,2
Mother or father ,parent,1
Reverberate ,echo,2
Journey ,trek,4
Large water bird ,swan,1
Bivalve mollusc with fan-shaped shell,scallop,4
Pygmalion's brought-to-life statue ,galatea,1
"Pest, pain in the neck",nuisance,1
Rare ,scarce,7
"Republic bordering on the Black Sea, capital Kiev",ukraine,1
Different ,varied,1
Residue of fire ,ashes,1
Military bugle call at sunrise,reveille,1
Body tissue that contracts and expands ,muscle,1
Fold or wrinkle ,crease,1
Canny ,shrewd,1
American bison ,buffalo,1
Correct in all details,accurate,1
