CLUE,ANS,POS,FOUND IN
Sesame Street character -- patron saint of sailors ,elmo,4,"Elmo - Through his various roles as a caring character on Sesame Street, Elmo could symbolize an emotional support system for young sailors navigating their first voyages at sea."
Large property ,estate,1,Spacious estate
Hamlet's mother ,gertrude,1,"Gertrude: Ophelia's mother, who marries Claudius after her husband's death in Shakespeare's play ""Hamlet"""
Loose casual trousers,slacks,11,"Comfortable, loose slacks"
Criminal deception,fraud,1,Fraudulent scheme
Without anxiety or responsibilities ,carefree,4,Carefree existence
Support; in return ,back,10,Backup (in terms of support and assistance)
Retail outlet,shop,2,Shopfront
Discourage ,deter,3,Deterring
Former name for Sri Lanka ,ceylon,1,"It was used predominantly from the early colonial era until it gained independence in 1948 when its official English name changed to ""Sri Lanka."" The term 'Ceylon' is deeply rooted in the country's history and carries historical significance, being derived from an earlier version of the Sinhalese word ""seylanna"" which means ""copper-plate island,"" referring to a plate made out of copper."
Not long ago ,recent,1,Recently
