CLUE,ANS,POS
Porch along the outside of a building ,veranda,1
Human whose body has been taken over by machines ,cyborg,1
Raised platform ,dais,10
One of Lear's daughters ,cordelia,1
Legal proceeding brought by one party against another,action,5
Build ,erect,2
Counterfeit ,fake,1
Outlook or aspect,prospect,9
Citrus fruit ,lemon,2
Dwell ,reside,1
"Place where ancient Greeks consulted gods, as at Delphi ",oracle,1
Reigned ,ruled,4
Famous novel by F Scott Fitzgerald 'The Great . . . . . .' ,gatsby,1
Occuring twice a year ,biannual,1
Texas mission besieged and captured by Mexican forces in 1836 ,alamo,1
Front section of a plane,cockpit,4
Highest point (of orbit) ,apogee,1
Amaze ,astound,1
Concealed like bride's face? ,veiled,1
Spice ,cumin,1
