CLUE,ANS,POS,FOUND IN
Conspire - small piece of land,plot,1,Parcel plot
One sharing home or business,partner,5,Partnership dwelling
U2 guitarist ,edge,1,The Edge
Touching ,handling,20,Handling material goods
Lapse against moral law ,sin,2,Sinfulness
Former name of Ho Chi Minh City ,saigon,10,Saigon Opera House
Vividly described ,graphic,5,Graphic imagery
Turn of phrase,idiom,5,Idiomatic phrase
"Beethoven or Mozart, say ",composer,1,Classical composer
Ore ,mineral,1,Mineral-rich
Round Table king ,arthur,1,Arthurian legend
Put on clothes ,dress,1,Dress up
Feline shriek,caterwaul,8,Caterwauling cats
"Clear, sane ",lucid,1,Lucidity
"Eg, gun ",weapon,8,Automatic weapon
