CLUE,ANS,POS,FOUND IN
Non-systematic way to discover solution ,trial and error,4,"Trial and Error: Testing various approaches until a suitable solution is found, even if it's not systematic."
Variety of brassica ,cabbage,12,"Brassica oleracea (the species that includes kale, cabbage, and cauliflower)"
Eating disorder ,anorexia,1,Anorexia nervosa
Immoderate eater,glutton,2,Gluttonous
Prefix meaning many ,multi,2,Multi-
Deep red ,crimson,2,Crimson hue
Liquid ,water,11,Aqueous (water-based)
Speech impediment ,stutter,1,Stuttering
Duelling sword ,epee,14,Foil and epee duels
Do needlework ,sew,2,Sewing
"Differ, take issue ",disagree,1,Disagreeing
Depletes the fools ,saps,6,Saps strength
Blockbuster,epic,15,Epic performance
Contributes further ,adds,12,Adds value
Velvety-leaved herb ,sage,10,Svelte sage
Agatha Christie's Belgian detective ,poirot,1,Hercule Poirot
"Long, yearn ",hanker,11,Hankering (strong craving)
Make (someone) used to (something) ,accustom,1,Accustomed
