CLUE,ANS,POS
Second-hand ,used,3
Royal mansion ,palace,1
Hoodlum,gangster,2
Not far away ,nearby,9
Staff; spice ,mace,6
Game bird ,grouse,3
Citrus fruit ,lemon,3
An informal toilet ,loo,3
Slanting ,oblique,4
Ran in (anag) - a place in Scotland,nairn,20
Fibre got from goats ,mohair,6
Properties that have money value ,assets,1
Old Testament prophet ,isaiah,10
Next to ,alongside,4
Grasp - eggs - car pedal,clutch,1
Stellar system ,galaxy,1
German tank ,panzer,1
Interrogate ,question,1
Imminent in a menacing way ,looming,1
