CLUE,ANS,POS
"Be present at, turn up for ",attend,1
Low-ranking naval officer ,ensign,2
Motor fuel ,diesel,3
Printing error ,typo,1
West African country ,mali,6
Major Asian river ,indus,6
Musical instrument like a small guitar ,mandolin,2
Branch of mathematics ,algebra,2
Speaker ,orator,1
Devilment or roguishness ,mischief,1
"Adversary, antagonist ",opponent,4
"Notions, thoughts ",ideas,1
Largest city in New Mexico ,albuquerque,1
Bird expert ,ornithologist,2
One receiving medical care ,patient,1
