CLUE,ANS,POS,FOUND IN
Scene of Falklands battle,goose green,1,Battle of Goose Green
French impressionist painter ,renoir,2,Pierre-Auguste Renoir
Large gun ,cannon,10,"Cannon (large caliber, historical use)"
Freshwater sea of Israel ,galilee,3,Lake Kinneret (Sea of Galilee)
Strong wind ,gale,1,Gale-force
"Source, derivation ",origin,1,"On tap - The phrase ""on tap"" is believed to have originated in the brewing industry, where beer would literally be kept on taps for easy access by customers"
Mental picture; idol ,image,4,Idolized image
Reckoning of a debt or of votes ,tally,1,Tallying
Computer network ,internet,3,Internet accessibility
Devotion (to a task) ,dedication,14,Heartfelt dedication
"Stately old dance, takes only a minute ",minuet,10,Minuet (historically slow and stately dance)
"Shrewdness, good for business ",acumen,14,Market acumen
Arrogant people are often described as high and . . . . . . ,mighty,11,High and mighty (colloquial)
