CLUE,ANS,POS
Someone not aristocratic or royal ,commoner,1
"Grew, progressed, evolved ",developed,3
Rogue - tornado,twister,1
Supporter in a conflict,ally,2
Paradise,garden of eden,7
"Parts, pieces, portions ",segments,2
Unrefined ,crude,2
"Breaks out, gets away ",escapes,1
Dishonest man ,rogue,17
Seeker of alms ,beggar,1
Eccentric person like peculiar sphere ,oddball,1
"View, judgement ",opinion,4
French soft cheese ,brie,1
Small piece ,bit,10
Strong ,potent,9
Legal representative ,lawyer,7
