CLUE,ANS,POS
"Sphere, globe ",orb,3
Incursion ,raid,2
Pay attention to ,heed,1
Type of carpet ,axminster,5
Branch of technology including aviation ,aerospace,1
Principles on which practices are based ,theories,7
Root vegetable ,carrot,1
"Adieu, so long ",farewell,1
Church robe ,vestment,12
"Foretell, be a sign of ",augur,9
Assisted ,helped,1
Gawp ,stare,1
Disdainful ,haughty,6
Skin complaint ,eczema,2
Calls up from memory ,evokes,13
"Of a period of government, such as in Britain 1811-1820",regency,3
"Cunning, deceitful ",crafty,2
Unmarriied state for religious reasons ,celibacy,1
Immense ,vast,3
States without proof ,alleges,4
Bring charge against ,accuse,4
Place of religious retreat for Hindus ,ashram,1
Make reference to ,cite,1
Former students,alumni,1
Break into parts ,split,1
Booty ,loot,4
Perilous ,risky,4
Line of rotation ,axis,1
Earth science ,geology,1
"Kind of nut, makes nice icing on cake ",almond,6
German motorway ,autobahn,1
Container for beer etc ,barrel,9
