CLUE,ANS,POS
Informal energy or drive ,vim,2
Send on; football player ,forward,5
Hired murderer ,assassin,2
Stretch of time ,period,3
Steven Redgrave's sport,rowing,1
Rope for restraining animal (6) ,tether,3
Celebrity,star,2
Aviator ,pilot,1
Examination of component parts ,analysis,1
Vehicle for pulling others ,tractor,7
"Inordinate, unreasonable ",excessive,1
Officials to ensure fair play ,referees,2
Italian wine ,chianti,2
Hatred of women ,misogyny,1
Antagonistic ,hostile,3
Amphibian - a Ken Livingstone pet?,newt,2
Track performer ,athlete,1
