CLUE,ANS,POS,FOUND IN
Fast-moving stream ,torrent,17,Bursting torrent
Underground chapel ,crypt,10,Cryptic meeting room
Net for fishing at sea ,trawl,4,Sea trawler
Prolonged public dispute,controversy,3,Sustained controversy
Gain by work ,earn,1,Earnings
Pig meat ,pork,5,Porker
American snake (informal) ,rattler,16,Timber rattler
Hold affectionately ,embrace,4,Loving embrace
"Alleviates, relieves ",eases,1,Eases pain
Scrounge ,beg,2,Beggar
Top for bottle or eye protector ,lid,3,Lid securement
Wallpaper remover ,scraper,5,Scrapers
Unpleasant coldness ,chill,1,Chilliness
