CLUE,ANS,POS,FOUND IN
Indian dish ,samosa,4,Samosas
Trained Japanese hostess -- his age (anag) ,geisha,1,"Geisha (anag: GEI-sha, not YAMA-sha)"
King Richard 1st had nickname like Latin hero ,lionheart,2,Richard the Lionheart (Ricardus Leo Cordis)
Greasy mark ,smear,11,Smeared makeup
Departs ,goes,3,Goes away
Transparent dome,bubble,5,Plexiglas bubble
Hitler's title ,f,1,The reasons for this are obvious and should not be necessary to explain.
Unfettered,free,5,Freedom from constraints
Royal personage,prince,2,Prince/Princess
Fungal plant disease ,mildew,6,Powdery mildew
Sandbank ,bar,2,Coastal bar
