CLUE,ANS,POS
Ill health,sickness,1
Friendly ,affable,4
"Best Actress Oscar winner 1981, for ""On Golden Pond""",katharine hepburn,1
Purse worn with kilt ,sporran,2
Absence of difficulty ,ease,2
Medical stitch ,suture,2
Influence someone deviously ,manipulate,1
Rude ,impolite,3
Give way ,yield,1
Exercise by repeated practice -- bore ,drill,1
Place to keep and exhibit objects of interest ,museum,5
Military operation to seal off (town) ,siege,2
Woodwind instrument,oboe,3
Seat ,chair,2
