CLUE,ANS,POS,FOUND IN
Non-professional ,amateur,3,Amateurish
"Not liable to, perhaps disease ",immune,1,Immune-compromised
Arachnid ,spider,4,Spiders' common group name
"Flip, coin or pancake say ",toss,19,Coin not tossed
"Annelid worm, used in medicine of old",leech,1,Leech: Historically applied as a treatment for bloodletting due to its anticoagulant properties.
Occurrence ,event,15,Habitual event
Greek tragedian ,aeschylus,3,"Aeschylus - Often considered the father of Greek tragedy, he significantly expanded the dramatic structure by introducing a second actor to dialogue scenes"
"Salves, emollients ",ointments,3,Moisturizing ointments
Radio identification ,call sign,1,"Call sign: WRAD-AM (e.g., a radio station identifier, like ""WQXC-FM"")"
Turkish dynasty or long cushioned seat ,ottoman,1,"Ottoman (referring to the historical Ottoman Dynasty, which ruled a vast empire including much of what is now Turkey)"
Plant seeds ,sow,4,Sowing starts
