CLUE,ANS,POS
Edict ,decree,9
Town in county Fermanagh ,enniskillen,1
Inculcate; embed ,implant,3
Turnaround,reversal,1
Holy ,divine,2
Hereditarily-ruled Channel Island ,sark,5
Betting ,wagering,1
Trial ,hearing,3
Secret - mysterious,arcane,3
Touching lightly so as to cause laughter ,tickling,1
Close by,adjacent,2
Line of stakes as a defence,palisade,3
"Adulterated, tainted ",impure,4
Motor vehicle for the seashore ,beach buggy,1
Fleet commander,admiral,2
The official who ensures fair play ,referee,1
Process of ending ,cessation,8
