CLUE,ANS,POS,FOUND IN
Lie ,fib,1,Fibbing
Had as a purpose ,intended,1,Intended use or intended function
Duo ,two,8,Teamwork (in the context of two people working together)
Wimbledon game ,tennis,1,Grass court tennis match
Fire-raising crime ,arson,1,Arsonist
Overwhelming fear ,panic,5,Irresistible panic
Dependent (on someone or something) ,reliant,7,Dependent child: a minor reliant on adult guardianship or parental care
Fruit trees ,orchard,1,Apple orchard
Carve a statue ,sculpt,1,Sculptor: Someone who specializes in carving statues from various materials.
Case of top cards ,aces,1,Aces - high-ranking starting card in many games like poker or bridge
