CLUE,ANS,POS,FOUND IN
Delight ,enchant,11,Enchantment
Metal holding a gem ,setting,1,Setting - The metal part where a gemstone is placed for jewelry pieces.
Spiral ,helix,1,Helix (biological structure)
Admit as a member ,induct,3,Induction
At a later time or behind ,after,1,Afterward
Coast ,shore,1,Shoreline
Fashion ,trend,7,Trendy
Reckoning ,account,1,Accountability
Large goose ,greylag,11,Greylag Goose
No longer in one's prime ,past it,9,Past its peak
Manufactured ,made,7,Factory-made
Machine doing work ,engine,1,Engineer
Going in the same direction but always the same distance apart ,parallel,1,"Parallel Tracks - Railway lines running alongside each other without intersecting, moving in the same direction at constant distances from one another."
Tree-dwarfing art ,bonsai,1,"Bonsai - A miniature tree sculpted and pruned into a desired shape, often dwarf in size but highly detailed."
Pennant ,banner,1,"Banner - A long strip of cloth or other material typically hung for display or as decoration, often bearing symbolic designs."
Small fly ,midge,4,"Midge - Small, slender flies that are usually found near water."
White heron ,egret,1,Egretta
"Martin --, US director ",scorsese,2,Scorsese (Director: Martin Scorsese)
Captivate ,enthral,19,Captivating performance - a compelling and enthralling display that holds the audience's interest and admiration.
This position is favourable in motor race ,pole,1,Pole Position
Storage space for fodder,silo,3,"Silo - A tall structure made of steel or concrete used to store bulk materials like corn, wheat, or silage (fermented fodder) in agricultural settings."
Albumen,egg white,1,"Egg white (in biology, referring to albumen found in eggs)"
Dealer in knives and forks ,cutler,1,Cutlery Supplier
Lose all cohesion ,disintegrate,1,Disintegrate - to break into small fragments or pieces and lose structure.
