CLUE,ANS,POS,FOUND IN
"Memento, keepsake ",souvenir,1,Souvenir  
Celtic language,irish,6,Old Irish
Christopher Robin's bear ,pooh,1,Winnie-the-Pooh
Of system of land-holding in Middle Ages ,feudal,1,Feudalism
Medieval steward ,seneschal,2,Seneschalamo
Evil in nature ,malign,2,Malignant
A change of explanation ,reinterpretation,14,Reinterpretation  
Abstaining from alcohol ,teetotal,2,Teetotalism
Steer ship nearer the wind ,luff,15,Luffing  
Water-cask; object of derision ,butt,3,Butt (in relation to wine or whiskey)
Stench ,reek,19,Reeking
