CLUE,ANS,POS
Style popular in the 1920s and '30s ,art deco,7
Vertical parts of stairs ,risers,2
Disastrous ,catastrophic,1
First Greek letter ,alpha,1
(Of duck) moving bill in water while feeding ,dabbling,2
Channel north of Isle of Wight ,solent,1
Five-cent coin (US) ,nickel,1
Delicate ornamental metalwork,filigree,7
Cheese,camembert,9
Tempting ,enticing,6
"Settled, found a solution ",resolved,1
Small stone ,pebble,1
Science of speech sounds,phonetics,1
American region of religious fundamentalism ,bible belt,2
Animal with a sting in its tail ,scorpion,1
Dispensary ,pharmacy,2
Clarified butter used in Indian cooking ,ghee,1
Gem weight unit,carat,1
