CLUE,ANS,POS,FOUND IN
Fragrant flower ,lily,15,Fragrance-filled lily
Watch - intellect ,mind,6,Inquisitive mind
Brave guy ,hero,5,Heroic
Self-government in local matters ,home rule,6,"Home rule charter: A legal document that establishes the organization, powers, functions, and essential procedures of a local governing body under state law."
Immature form of insect ,larva,1,Larvae
Nightclothes,pyjamas,5,Cotton pyjamas
Feral ,wild,1,Wild or untamed animal
Famous person ,name,14,"Influential mathematician: Pythagoras - Ancient Greek philosopher known for formulating the famous Pythagorean theorem, which bears his name and has become a fundamental principle in mathematics."
Bubbles ,foam,13,Foam fragments
Police weapon ,taser,8,Taser electroshock device
Appealing to emotion rather than actuality ,sentimental,1,Sentimental longing
Walk as if about to fall,stagger,1,Staggering
Baby swan ,cygnet,1,"Cygnet (young swan, but can be used metapromptically for a baby-like description)"
Regular,usual,10,General (in the sense of common or usual)
Seraph ,angel,3,Angels
'. . . . . . speaks louder then words' ,action,1,Actions reveal intentions
