CLUE,ANS,POS,FOUND IN
Go back on a promise ,renege,6,Reneged promise
Succulent plant,cactus,11,Zebra cactus (Kalanchoe delagoensis)
"Bloomer, blunder ",error,5,Error in execution
Stringed instrument ,fiddle,10,Fiddle (referring to the violin)
Frozen rain ,hail,2,Hailstones (if cold enough)
Daub ,paint,1,Covered lightly with paint or powder
Terminate in den ,end,13,Ship unloading zone (as a result of termination/end of voyage)
Able to be eaten ,digestible,3,Human-digestible
Paris stock exchange ,bourse,2,Bourse de Paris
South American rodent,agouti,2,"Agouti: A family of medium-sized, spiny-coated mammals found in various forests across South America."
