CLUE,ANS,POS
Showed amusement ,laughed,1
Monumental (task) ,herculean,1
Burrowing marsupial ,wombat,6
Cycling arena,velodrome,1
Frighten ,scare,1
Nocturnal bird ,owl,1
Rarely,seldom,2
Braids ,plaits,1
Edible crustacean ,shrimp,1
"Pest, pain in the neck ",nuisance,1
Fit,healthy,7
Conceivable,possible,2
European language ,czech,12
Straight ,direct,1
The Dog-star ,sirius,1
Company emblem ,logo,1
Contagious skin infection,scabies,7
Bank guarantee of payment ,letter of credit,2
"Dangers, risks ",perils,3
Alga ,seaweed,1
