CLUE,ANS,POS
Living in trees ,arboreal,1
Assistance ,aid,1
Language widespread in East Africa ,swahili,1
The 50th state ,hawaii,1
Harmful,noxious,11
Clean and orderly ,tidy,1
"Southern African kingdom, capital Mbabane ",swaziland,1
West African country ,ghana,1
Pirates' flag ,jolly roger,1
Gifts ,presents,1
Brought back to original condition ,restored,2
River in central Italy ,arno,2
Proverbially gluttonous seabird ,cormorant,6
Musical drama ,opera,1
Seat on horse or bike,saddle,1
Very unkind,cruel,5
