CLUE,ANS,POS,FOUND IN
Stingy hoarder ,miser,1,Miserly
Nun's title ,sister,5,Overseer Sister
Christian body noted for social work and bands ,salvation,1,Salvation Army
"Solicitor, for example ",lawyer,5,Lawyer      
One eighth of a gallon ,pint,4,Pintful
"Speak indistinctly, as a drunk might ",slur,2,Slurring
Of little weight ,light,8,Lightweight (in terms of influence)
Building with many storeys,high-rise,2,"Apartmentcomplex, residential unit within high-rise"
Commercial vehicle ,van,2,Cargovan
"Nina - - , Paris couture house ",ricci,15,"Balmain, Nina Ricci"
