CLUE,ANS,POS
Bloodsucker; early doctor ,leech,3
Roman Emperor notorious for vice and luxury ,nero,1
Supreme Being ,god,2
Wash with clean water,rinse,3
Get away ,escape,1
Sorcerer ,magician,10
In the distant past ,long ago,17
Casual shoes ,sneakers,1
Burrowing marsupial ,wombat,7
The world considered as a linked community ,global village,1
Whirlpool ,eddy,3
Naval asset ,warship,7
Lapwing-like bird ,plover,16
Small falcon ,merlin,5
Dramatic prince of Denmark ,hamlet,1
Small biting fly ,gnat,2
"Member of the Beatles, d.1980 ",lennon,2
Sermons are preached from it ,pulpit,1
Vocalist ,singer,1
"Undamaged, not broken ",intact,1
Ocean ,sea,1
