CLUE,ANS,POS,FOUND IN
Stingy hoarder ,miser,1,Miserly collector
Nun's title ,sister,6,"Sister (General Title) – Used broadly for nuns in various Christian denominations, signifying their vowed life of communal living and service."
Fit out ,equip,1,"Equip or furnish completely with necessary items (equipment, furniture)."
Christian body noted for social work and bands ,salvation,1,Salvation Army
Sat or lay with limbs stretched out ,sprawled,3,Sprawled (lying with arms and legs spread out)
Hitchcock's speciality ,suspense,1,Suspense films
"Solicitor, for example ",lawyer,2,"In England and Wales, historically, solicitors were lawyers who dealt directly with clients, while barristers were responsible for advocacy in higher courts"
Our Meg (anag),morgue,1,Mourge (a rare variant form of 'Morgue') 
Mail ,letters,1,Postal service letters or packages for delivery
Lorelei ,siren,1,"A siren from German folklore, known as Lorelei."
"Speak indistinctly, as a drunk might ",slur,5,Slurred speech
Wholly engrossed ,absorbed,1,Completely absorbed
Of little weight ,light,1,Lightweight
Bacterium causing sore throats etc ,streptococcus,1,Streptococcus pyogenes
